zaman,duygu,olasilik
2025-06-13 16:25:49.493602,Notr,0.44873098
2025-06-13 16:25:49.595744,Notr,0.4618684
2025-06-13 16:25:49.713581,Uzgun,0.48237914
2025-06-13 16:25:49.808865,Notr,0.4647669
2025-06-13 16:25:49.905032,Notr,0.53852147
2025-06-13 16:25:49.999657,Notr,0.48985717
2025-06-13 16:25:50.091313,Notr,0.46042833
2025-06-13 16:25:50.179942,Notr,0.41724342
2025-06-13 16:25:50.275294,Notr,0.48943213
2025-06-13 16:25:50.370045,Notr,0.5319074
2025-06-13 16:25:50.505749,Notr,0.4035161
2025-06-13 16:25:50.604133,Notr,0.5078264
2025-06-13 16:25:50.692472,Notr,0.43093982
2025-06-13 16:25:50.782030,Uzgun,0.42207873
2025-06-13 16:25:50.880705,Notr,0.4570364
2025-06-13 16:25:50.969245,Notr,0.483791
2025-06-13 16:25:51.049775,Notr,0.5635782
2025-06-13 16:25:51.139632,Notr,0.50485253
2025-06-13 16:25:51.230946,Notr,0.41161793
2025-06-13 16:25:51.311726,Uzgun,0.40487835
2025-06-13 16:25:51.398730,Uzgun,0.5608616
2025-06-13 16:25:51.490048,Uzgun,0.59183896
2025-06-13 16:25:51.583543,Uzgun,0.6515103
2025-06-13 16:25:51.675872,Uzgun,0.54002887
2025-06-13 16:25:51.768347,Uzgun,0.5823177
2025-06-13 16:25:51.858925,Notr,0.462947
2025-06-13 16:25:51.942551,Uzgun,0.45793214
2025-06-13 16:25:52.030633,Uzgun,0.45691168
2025-06-13 16:25:52.122376,Uzgun,0.6682826
2025-06-13 16:25:52.181271,Uzgun,0.42131287
